"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","ID_4","NAME_4","VARNAME_4","TYPE_4","ENGTYPE_4"
101,118,"KEN","Kenya",1,"Central",6,"Nyeri",25,"Kieni East",101,"Gakawa",NA,"Kata","Location"
102,118,"KEN","Kenya",1,"Central",6,"Nyeri",25,"Kieni East",102,"Kabaru",NA,"Kata","Location"
103,118,"KEN","Kenya",1,"Central",6,"Nyeri",25,"Kieni East",103,"Naro Moru",NA,"Kata","Location"
104,118,"KEN","Kenya",1,"Central",6,"Nyeri",26,"Kieni West",104,"Endarasha",NA,"Kata","Location"
105,118,"KEN","Kenya",1,"Central",6,"Nyeri",26,"Kieni West",105,"Gatarakwa",NA,"Kata","Location"
106,118,"KEN","Kenya",1,"Central",6,"Nyeri",26,"Kieni West",106,"Mweiga",NA,"Kata","Location"
107,118,"KEN","Kenya",1,"Central",6,"Nyeri",27,"Mathira",107,"Iria-ini",NA,"Kata","Location"
108,118,"KEN","Kenya",1,"Central",6,"Nyeri",27,"Mathira",108,"Karatina",NA,"Kata","Location"
109,118,"KEN","Kenya",1,"Central",6,"Nyeri",27,"Mathira",109,"Kirimukuyu",NA,"Kata","Location"
110,118,"KEN","Kenya",1,"Central",6,"Nyeri",27,"Mathira",110,"Konyu",NA,"Kata","Location"
111,118,"KEN","Kenya",1,"Central",6,"Nyeri",27,"Mathira",111,"Magutu",NA,"Kata","Location"
112,118,"KEN","Kenya",1,"Central",6,"Nyeri",27,"Mathira",112,"Ngorano",NA,"Kata","Location"
113,118,"KEN","Kenya",1,"Central",6,"Nyeri",27,"Mathira",113,"Ruguru",NA,"Kata","Location"
114,118,"KEN","Kenya",1,"Central",6,"Nyeri",28,"Mt. Kenya Forest and National Park",114,"Mt. Kenya Forest and National Park",NA,"Kata","Location"
115,118,"KEN","Kenya",1,"Central",6,"Nyeri",29,"Mukurweini",115,"Gakindu",NA,"Kata","Location"
116,118,"KEN","Kenya",1,"Central",6,"Nyeri",29,"Mukurweini",116,"Gikondi",NA,"Kata","Location"
117,118,"KEN","Kenya",1,"Central",6,"Nyeri",29,"Mukurweini",117,"Githii",NA,"Kata","Location"
118,118,"KEN","Kenya",1,"Central",6,"Nyeri",29,"Mukurweini",118,"Muhito",NA,"Kata","Location"
119,118,"KEN","Kenya",1,"Central",6,"Nyeri",29,"Mukurweini",119,"Rutune",NA,"Kata","Location"
120,118,"KEN","Kenya",1,"Central",6,"Nyeri",30,"Municipality",120,"Kiganjo",NA,"Kata","Location"
121,118,"KEN","Kenya",1,"Central",6,"Nyeri",30,"Municipality",121,"Mukaro",NA,"Kata","Location"
122,118,"KEN","Kenya",1,"Central",6,"Nyeri",31,"Othaya",122,"Chinga",NA,"Kata","Location"
123,118,"KEN","Kenya",1,"Central",6,"Nyeri",31,"Othaya",123,"Iriaini",NA,"Kata","Location"
124,118,"KEN","Kenya",1,"Central",6,"Nyeri",31,"Othaya",124,"Karima",NA,"Kata","Location"
125,118,"KEN","Kenya",1,"Central",6,"Nyeri",31,"Othaya",125,"Mahiga",NA,"Kata","Location"
126,118,"KEN","Kenya",1,"Central",6,"Nyeri",32,"Tetu",126,"Aguthi",NA,"Kata","Location"
127,118,"KEN","Kenya",1,"Central",6,"Nyeri",32,"Tetu",127,"Muhoyas",NA,"Kata","Location"
128,118,"KEN","Kenya",1,"Central",6,"Nyeri",32,"Tetu",128,"Tetu",NA,"Kata","Location"
129,118,"KEN","Kenya",1,"Central",6,"Nyeri",32,"Tetu",129,"Thegenge",NA,"Kata","Location"
130,118,"KEN","Kenya",2,"Coast",7,"Kilifi",33,"Bahari",130,"Junju",NA,"Kata","Location"
131,118,"KEN","Kenya",2,"Coast",7,"Kilifi",33,"Bahari",131,"Mtwapa",NA,"Kata","Location"
132,118,"KEN","Kenya",2,"Coast",7,"Kilifi",33,"Bahari",132,"Ngerenya",NA,"Kata","Location"
133,118,"KEN","Kenya",2,"Coast",7,"Kilifi",33,"Bahari",133,"Roka",NA,"Kata","Location"
134,118,"KEN","Kenya",2,"Coast",7,"Kilifi",33,"Bahari",134,"Tezo",NA,"Kata","Location"
135,118,"KEN","Kenya",2,"Coast",7,"Kilifi",33,"Bahari",135,"Tukaungu/Mavueni",NA,"Kata","Location"
136,118,"KEN","Kenya",2,"Coast",7,"Kilifi",34,"Ganze",136,"Bamba",NA,"Kata","Location"
